name,decimal_unsigned,hex,dex_signed_value
PRT_ALARM_SOUND_PLAY,134,0x86,-122
PRT_ALARM_SOUND_PLAY_STOP,135,0x87,-121
PRT_DISCONNECT_BT_CMD,47,0x2F,47
PRT_FEED_LINE,26,0x1A,26
PRT_FEED_TO_HEAD_LINE,33,0x21,33
PRT_FIRMWARE_DATA,2,0x02,2
PRT_GET_ALARM_DELAY,102,0x66,102
PRT_GET_ALARM_DELAY_TIME,105,0x69,105
PRT_GET_ALARM_NOTE_ON,89,0x59,89
PRT_GET_ALARM_SOUND,99,0x63,99
PRT_GET_ALARM_SOUND_TYPE,132,0x84,-124
PRT_GET_ALARM_TIME,125,0x7D,125
PRT_GET_BAT_STATUS,16,0x10,16
PRT_GET_BT_MODEL,66,0x42,66
PRT_GET_BT_VERSION,127,0x7F,127
PRT_GET_COUNTRY_NAME,45,0x2D,45
PRT_GET_KEY_SOUND,93,0x5D,93
PRT_GET_LABEL_NUM,60,0x3C,60
PRT_GET_POWER_DOWN_TIME,31,0x1F,31
PRT_GET_POWER_OFF_ALARM,138,0x8A,-118
PRT_GET_PRINTED_LINE_NUM,52,0x34,52
PRT_GET_PRINTER_IDLE_STATUS,54,0x36,54
PRT_GET_PRINTER_MACHINE_CODE,129,0x81,-127
PRT_GET_PRINTER_MODEL,48,0x30,48
PRT_GET_SCREEN_FLASH,121,0x79,121
PRT_GET_SN,10,0x0A,10
PRT_GET_SUSPEND_TIME,111,0x6F,111
PRT_GET_TIMER_SOUND,96,0x60,96
PRT_GET_TIME_MODE,82,0x52,82
PRT_GET_TOMATO_BREAK_TIME,117,0x75,117
PRT_GET_TOMATO_COUNT,123,0x7B,123
PRT_GET_TOMATO_NOTE_ON,85,0x55,85
PRT_GET_TOMATO_SOUND,108,0x6C,108
PRT_GET_TOMATO_WORK_TIME,114,0x72,114
PRT_GET_VERSION,4,0x04,4
PRT_PRINT_DATA,0,0x00,0
PRT_PRINT_TEST_PAGE,27,0x1B,27
PRT_SEND_PRINTED_LINE_NUM,53,0x35,53
PRT_SEND_PRINTER_IDLE_STATUS,55,0x37,55
PRT_SENT_ALARM_DELAY,103,0x67,103
PRT_SENT_ALARM_DELAY_TIME,106,0x6A,106
PRT_SENT_ALARM_NOTE_ON,90,0x5A,90
PRT_SENT_ALARM_SOUND,100,0x64,100
PRT_SENT_ALARM_SOUND_TYPE,133,0x85,-123
PRT_SENT_ALARM_TIME,126,0x7E,126
PRT_SENT_BAT_STATUS,17,0x11,17
PRT_SENT_BT_MODEL,67,0x43,67
PRT_SENT_BT_VERSION,128,0x80,-128
PRT_SENT_COUNTRY_NAME,46,0x2E,46
PRT_SENT_KEY_SOUND,94,0x5E,94
PRT_SENT_LABEL_NUM,61,0x3D,61
PRT_SENT_POWER_DOWN_TIME,32,0x20,32
PRT_SENT_POWER_OFF_ALARM,139,0x8B,-117
PRT_SENT_PRINTER_MACHINE_CODE,130,0x82,-126
PRT_SENT_PRINTER_MODEL,49,0x31,49
PRT_SENT_SCREEN_FLASH,122,0x7A,122
PRT_SENT_SN,11,0x0B,11
PRT_SENT_STATUS,13,0x0D,13
PRT_SENT_SUSPEND_TIME,112,0x70,112
PRT_SENT_TIMER_SOUND,97,0x61,97
PRT_SENT_TIME_MODE,83,0x53,83
PRT_SENT_TOMATO_BREAK_TIME,118,0x76,118
PRT_SENT_TOMATO_COUNT,124,0x7C,124
PRT_SENT_TOMATO_NOTE_ON,86,0x56,86
PRT_SENT_TOMATO_SOUND,109,0x6D,109
PRT_SENT_TOMATO_WORK_TIME,115,0x73,115
PRT_SENT_VERSION,5,0x05,5
PRT_SET_ALARM_DELAY,101,0x65,101
PRT_SET_ALARM_DELAY_TIME,104,0x68,104
PRT_SET_ALARM_NOTE,91,0x5B,91
PRT_SET_ALARM_NOTE_ON,88,0x58,88
PRT_SET_ALARM_SOUND,98,0x62,98
PRT_SET_ALARM_SOUND_TYPE,131,0x83,-125
PRT_SET_ALARM_TIME,119,0x77,119
PRT_SET_BINARY_TREE_PARAMETERS,65,0x41,65
PRT_SET_CACHE_TIME,63,0x3F,63
PRT_SET_CRC_KEY,24,0x18,24
PRT_SET_HEAT_DENSITY,25,0x19,25
PRT_SET_KEY_SOUND,92,0x5C,92
PRT_SET_MAX_GAP_LENGTH,39,0x27,39
PRT_SET_NOTE_PRE_ACTION,136,0x88,-120
PRT_SET_PAPER_LEARN,62,0x3E,62
PRT_SET_PAPER_PIECE,64,0x40,64
PRT_SET_PAPER_TYPE,44,0x2C,44
PRT_SET_POWER_DOWN_TIME,30,0x1E,30
PRT_SET_POWER_OFF_ALARM,137,0x89,-119
PRT_SET_PRINT_SPEED,57,0x39,57
PRT_SET_SCREEN_FLASH,120,0x78,120
PRT_SET_SUSPEND_TIME,110,0x6E,110
PRT_SET_TIME,80,0x50,80
PRT_SET_TIMER_SOUND,95,0x5F,95
PRT_SET_TIME_MODE,81,0x51,81
PRT_SET_TOMATO_BREAK_TIME,116,0x74,116
PRT_SET_TOMATO_NOTE,87,0x57,87
PRT_SET_TOMATO_NOTE_ON,84,0x54,84
PRT_SET_TOMATO_SOUND,107,0x6B,107
PRT_SET_TOMATO_WORK_TIME,113,0x71,113
PRT_UPDATE_BT_FIRMWARE,50,0x32,50
